	vid-1	vid-2	vid-3	vid-4	vid-5	vid-6	vid-7	vid-8	vid-9	vid-10	vid-11	vid-12	vid-13	vid-14	vid-15	vid-16	vid-17	vid-18	vid-19	vid-20	vid-21	vid-22	vid-23	vid-24	vid-25	vid-26	vid-27	vid-28	vid-29	vid-30	vid-31	vid-32	vid-33	vid-34	vid-35	vid-36	vid-37	vid-38	vid-39	vid-40	vid-41	vid-42	vid-43	vid-44	vid-45	vid-46	vid-47	vid-48	vid-49	vid-50	vid-51	vid-52	vid-53	vid-54	vid-55	vid-56	vid-57	vid-58	vid-59	vid-60	vid-61	vid-62	vid-63	vid-64	vid-65	vid-66	vid-67	vid-68	vid-69	vid-70	vid-71	vid-72	vid-73	vid-74	vid-75	vid-76	vid-77	vid-78	vid-79	vid-80	vid-81	vid-82	vid-83	vid-84	vid-85	vid-86	vid-87	vid-88	vid-89	vid-90	vid-91	vid-92	vid-93	vid-94	vid-95	vid-96	vid-97	vid-98	vid-99	vid-100	vid-101	vid-102	vid-103	vid-104	vid-105	vid-106	vid-107	vid-108	vid-109	vid-110	vid-111	vid-112	vid-113	vid-114	vid-115	vid-116	vid-117	vid-118	vid-119	vid-120	vid-121	vid-122	vid-123	vid-124	vid-125	vid-126	vid-127	vid-128	vid-129	vid-130	vid-131	vid-132	vid-133	vid-134	vid-135	vid-136	vid-137	vid-138	vid-139	vid-140	vid-141	vid-142	vid-143	vid-144	vid-145	vid-146	vid-147	vid-148	vid-149	vid-150	vid-151	vid-152	vid-153	vid-154	vid-155	vid-156	vid-157	vid-158	vid-159	vid-160	vid-161	vid-162	vid-163	vid-164	vid-165	vid-166	vid-167	vid-168	vid-169	vid-170	vid-171	vid-172	vid-173	vid-174	vid-175
vid-39	1.4045	NaN	1.4045	1.4045	1.4045	2.6887	1.4045	1.4045	1.3757	1.4045	0.8046	NaN	1.4045	1.4045	1.4045	1.3823	1.4045	1.4045	1.7885	15.0290	2.7894	15.0290	15.0290	2.2747	15.0290	15.0290	1.4045	1.4045	15.1378	15.1378	1.4045	15.1378	15.1378	1.4045	15.1378	1.4045	1.4045	10.3814	0.0000	1.3823	15.1378	1.5813	3.0705	1.4173	15.1378	6.6585	1.4045	15.1378	2.6355	3.4328	3.4328	1.4045	12.6541	15.1378	1.6380	15.1378	3.9476	15.1378	4.6040	15.1378	15.1378	1.4045	15.1378	1.4045	11.7029	6.4935	1.4045	15.1378	15.1378	15.1378	1.6380	15.1378	15.1378	15.1378	15.1378	15.1378	3924.5471	3913.9893	3861.2888	3922.9824	3911.3476	962.5787	959.8658	959.4299	962.6644	NaN	3925.8426	4.1852	0.8046	8.3749	1.4045	4.8534	7.6822	6.2935	4.2029	NaN	1.4045	1.4045	1.4045	1.4979	NaN	1.4045	6.4935	33.9481	1.4979	10.3814	5.2395	7.6822	6.2935	6.5403	2.7985	37.3009	NaN	37.3009	6.2043	7.6822	NaN	1.2436	3.3571	4.2029	5.2395	0.8046	33.9481	1.2727	33.9481	6.2935	NaN	6.2935	6.2935	6.2935	1.4979	1.8774	1.7885	7.6822	NaN	7.6822	1.0951	NaN	7.6822	7.6822	6.2935	6.2935	6.2935	7.6822	3.1048	1.7885	7.6822	7.6822	4.3284	4.5237	325.6392	2.7814	4.1852	4.1852	10.3814	106.4725	331.7236	325.6392	329.5786	4.1852	4.1852	2.7020	1.7885	1.5813	11.8142	2.7376	NaN	1.4696	33.8302	4.2359	4.3284	3.0061	1.4045	16.2305	1.4045
vid-40	2.6646	NaN	2.6646	2.6646	2.6646	1.4537	2.6646	2.6646	0.0821	2.6646	1.5920	NaN	2.6646	2.6646	2.6646	0.0000	2.6646	2.6646	3.0959	13.6603	1.5366	13.6603	13.6603	1.4214	13.6603	13.6603	2.6646	2.6646	13.7692	13.7692	2.6646	13.7692	13.7692	2.6646	13.7692	2.6646	2.6646	9.7423	1.3823	0.0000	13.7692	1.0067	2.6736	2.4160	13.7692	5.6852	2.6646	13.7692	1.2749	2.5831	2.5831	2.6646	13.0730	13.7692	1.9930	13.7692	2.5685	13.7692	3.2218	13.7692	13.7692	2.6646	13.7692	2.6646	11.1564	5.1735	2.6646	13.7692	13.7692	13.7692	1.9930	13.7692	13.7692	13.7692	13.7692	13.7692	3923.1944	3912.6405	3859.9507	3921.6297	3909.9986	961.1966	958.4838	958.0479	961.2823	NaN	3924.4899	2.8834	1.5920	8.4910	2.6646	3.4734	6.3183	4.9570	2.8856	NaN	2.6646	2.6646	2.6646	2.6651	NaN	2.6646	5.1735	32.6010	2.6651	9.7423	3.9342	6.3183	4.9570	5.1806	1.4998	35.9417	NaN	35.9417	4.8936	6.3183	NaN	2.2926	2.7066	2.8856	3.9342	1.5920	32.6010	1.1055	32.6010	4.9570	NaN	4.9570	4.9570	4.9570	2.6651	1.3964	3.0959	6.3183	NaN	6.3183	1.8210	NaN	6.3183	6.3183	4.9570	4.9570	4.9570	6.3183	3.6135	3.0959	6.3183	6.3183	3.0628	3.8965	326.2449	1.4826	2.8834	2.8834	9.7423	106.9916	332.3117	326.2449	330.1715	2.8834	2.8834	1.5376	3.0959	1.0067	10.6773	1.6241	NaN	0.6927	32.4825	2.8574	3.0628	3.8377	2.6646	15.0462	2.6646
vid-41	16.4081	NaN	16.4081	16.4081	16.4081	12.7937	16.4081	16.4081	13.7903	16.4081	15.0427	NaN	16.4081	16.4081	16.4081	13.7692	16.4081	16.4081	16.8524	0.1093	12.6844	0.1093	0.1093	13.1870	0.1093	0.1093	16.4081	16.4081	0.0000	0.0000	16.4081	0.0000	0.0000	16.4081	0.0000	16.4081	16.4081	14.5842	15.1378	13.7692	0.0000	14.1001	14.2805	16.0307	0.0000	10.2331	16.4081	0.0000	12.6068	13.1943	13.1943	16.4081	23.1327	0.0000	15.2207	0.0000	11.2069	0.0000	10.6058	0.0000	0.0000	16.4081	0.0000	16.4081	15.8843	9.5090	16.4081	0.0000	0.0000	0.0000	15.2207	0.0000	0.0000	0.0000	0.0000	0.0000	3910.2882	3899.7976	3847.2801	3908.7222	3897.1538	947.6162	944.9099	944.4733	947.7019	NaN	3911.5817	11.4364	15.0427	16.3045	16.4081	10.4030	8.0500	9.5201	10.9759	NaN	16.4081	16.4081	16.4081	16.3603	NaN	16.4081	9.5090	20.4529	16.3603	14.5842	10.5814	8.0500	9.5201	9.0829	12.5896	23.3784	NaN	23.3784	9.8049	8.0500	NaN	15.9536	13.6908	10.9759	10.5814	15.0427	20.4529	14.4781	20.4529	9.5201	NaN	9.5201	9.5201	9.5201	16.3603	13.7554	16.8524	8.0500	NaN	8.0500	15.3954	NaN	8.0500	8.0500	9.5201	9.5201	9.5201	8.0500	15.5806	16.8524	8.0500	8.0500	11.4698	12.5125	330.6764	12.6034	11.4364	11.4364	14.5842	111.1137	336.5539	330.6764	334.4650	11.4364	11.4364	12.9042	16.8524	14.1001	9.8171	12.9682	NaN	13.7680	20.3209	11.0129	11.4698	17.0314	16.4081	10.1243	16.4081
vid-42	2.4016	NaN	2.4016	2.4016	2.4016	1.3180	2.4016	2.4016	0.9247	2.4016	2.1744	NaN	2.4016	2.4016	2.4016	1.0067	2.4016	2.4016	2.8574	13.9909	1.4283	13.9909	13.9909	2.4197	13.9909	13.9909	2.4016	2.4016	14.1001	14.1001	2.4016	14.1001	14.1001	2.4016	14.1001	2.4016	2.4016	8.9123	1.5813	1.0067	14.1001	0.0000	1.6996	1.9377	14.1001	6.5667	2.4016	14.1001	1.5408	1.8563	1.8563	2.4016	12.0892	14.1001	1.1841	14.1001	2.9713	14.1001	3.5010	14.1001	14.1001	2.4016	14.1001	2.4016	10.2859	5.0846	2.4016	14.1001	14.1001	14.1001	1.1841	14.1001	14.1001	14.1001	14.1001	14.1001	3923.1395	3912.5725	3859.8495	3921.5750	3909.9311	961.3336	958.6180	958.1824	961.4193	NaN	3924.4353	2.7959	2.1744	9.4523	2.4016	3.6974	6.3706	4.9197	3.5013	NaN	2.4016	2.4016	2.4016	2.2962	NaN	2.4016	5.0846	32.5378	2.2962	8.9123	3.8260	6.3706	4.9197	5.2268	1.5108	35.9215	NaN	35.9215	4.7836	6.3706	NaN	1.8807	1.8388	3.5013	3.8260	2.1744	32.5378	0.3955	32.5378	4.9197	NaN	4.9197	4.9197	4.9197	2.2962	2.3863	2.8574	6.3706	NaN	6.3706	1.3071	NaN	6.3706	6.3706	4.9197	4.9197	4.9197	6.3706	4.4230	2.8574	6.3706	6.3706	2.8834	4.8923	327.0715	1.4968	2.7959	2.7959	8.9123	107.8544	333.1463	327.0715	331.0040	2.7959	2.7959	1.2508	2.8574	0.0000	10.2439	1.2405	NaN	1.6841	32.4215	3.0885	2.8834	3.0937	2.4016	14.6719	2.4016
vid-43	3.2751	NaN	3.2751	3.2751	3.2751	2.0661	3.2751	3.2751	2.5926	3.2751	3.7876	NaN	3.2751	3.2751	3.2751	2.6736	3.2751	3.2751	3.6704	14.1719	2.1318	14.1719	14.1719	4.0311	14.1719	14.1719	3.2751	3.2751	14.2805	14.2805	3.2751	14.2805	14.2805	3.2751	14.2805	3.2751	3.2751	7.3123	3.0705	2.6736	14.2805	1.6996	0.0000	2.6340	14.2805	7.8584	3.2751	14.2805	2.5921	1.0862	1.0862	3.2751	10.6724	14.2805	1.6626	14.2805	3.7716	14.2805	4.0417	14.2805	14.2805	3.2751	14.2805	3.2751	8.6387	4.8403	3.2751	14.2805	14.2805	14.2805	1.6626	14.2805	14.2805	14.2805	14.2805	14.2805	3922.5142	3911.9269	3859.1520	3920.9502	3909.2860	961.0219	958.3015	957.8665	961.1076	NaN	3923.8108	2.9214	3.7876	11.1510	3.2751	4.1264	6.2734	4.7789	4.5146	NaN	3.2751	3.2751	3.2751	3.0474	NaN	3.2751	4.8403	31.9628	3.0474	7.3123	3.6994	6.2734	4.7789	5.1990	2.3064	35.4099	NaN	35.4099	4.5318	6.2734	NaN	2.6993	0.6058	4.5146	3.6994	3.7876	31.9628	1.8404	31.9628	4.7789	NaN	4.7789	4.7789	4.7789	3.0474	4.0694	3.6704	6.2734	NaN	6.2734	2.2400	NaN	6.2734	6.2734	4.7789	4.7789	4.7789	6.2734	6.0863	3.6704	6.2734	6.2734	2.8307	6.4630	328.7033	2.3045	2.9214	2.9214	7.3123	109.5149	334.7846	328.7033	332.6405	2.9214	2.9214	1.8584	3.6704	1.6996	9.2072	1.7193	NaN	3.3649	31.8503	3.6305	2.8307	2.8831	3.2751	13.6793	3.2751
vid-44	0.6502	NaN	0.6502	0.6502	0.6502	3.2552	0.6502	0.6502	2.3675	0.6502	2.1580	NaN	0.6502	0.6502	0.6502	2.4160	0.6502	0.6502	1.0402	15.9215	3.3655	15.9215	15.9215	3.6135	15.9215	15.9215	0.6502	0.6502	16.0307	16.0307	0.6502	16.0307	16.0307	0.6502	16.0307	0.6502	0.6502	9.7567	1.4173	2.4160	16.0307	1.9377	2.6340	0.0000	16.0307	8.0061	0.6502	16.0307	3.4329	3.4071	3.4071	0.6502	11.2884	16.0307	0.9965	16.0307	4.8578	16.0307	5.4256	16.0307	16.0307	0.6502	16.0307	0.6502	10.9675	6.9721	0.6502	16.0307	16.0307	16.0307	0.9965	16.0307	16.0307	16.0307	16.0307	16.0307	3924.9713	3914.3960	3861.6502	3923.4070	3911.7548	963.2522	960.5358	960.1003	963.3379	NaN	3926.2674	4.7138	2.1580	9.6347	0.6502	5.6308	8.2923	6.8261	5.2840	NaN	0.6502	0.6502	0.6502	0.4158	NaN	0.6502	6.9721	34.3796	0.4158	9.7567	5.7219	8.2923	6.8261	7.1516	3.4462	37.7857	NaN	37.7857	6.6662	8.2923	NaN	0.1813	3.1270	5.2840	5.7219	2.1580	34.3796	1.5532	34.3796	6.8261	NaN	6.8261	6.8261	6.8261	0.4158	3.2743	1.0402	8.2923	NaN	8.2923	0.6355	NaN	8.2923	8.2923	6.8261	6.8261	6.8261	8.2923	4.2951	1.0402	8.2923	8.2923	4.7736	5.9355	326.4505	3.4318	4.7138	4.7138	9.7567	107.3699	332.5512	326.4505	330.4019	4.7138	4.7138	3.1744	1.0402	1.9377	11.8149	3.1415	NaN	2.7695	34.2646	5.0181	4.7736	1.5909	0.6502	16.2810	0.6502
vid-45	16.4081	NaN	16.4081	16.4081	16.4081	12.7937	16.4081	16.4081	13.7903	16.4081	15.0427	NaN	16.4081	16.4081	16.4081	13.7692	16.4081	16.4081	16.8524	0.1093	12.6844	0.1093	0.1093	13.1870	0.1093	0.1093	16.4081	16.4081	0.0000	0.0000	16.4081	0.0000	0.0000	16.4081	0.0000	16.4081	16.4081	14.5842	15.1378	13.7692	0.0000	14.1001	14.2805	16.0307	0.0000	10.2331	16.4081	0.0000	12.6068	13.1943	13.1943	16.4081	23.1327	0.0000	15.2207	0.0000	11.2069	0.0000	10.6058	0.0000	0.0000	16.4081	0.0000	16.4081	15.8843	9.5090	16.4081	0.0000	0.0000	0.0000	15.2207	0.0000	0.0000	0.0000	0.0000	0.0000	3910.2882	3899.7976	3847.2801	3908.7222	3897.1538	947.6162	944.9099	944.4733	947.7019	NaN	3911.5817	11.4364	15.0427	16.3045	16.4081	10.4030	8.0500	9.5201	10.9759	NaN	16.4081	16.4081	16.4081	16.3603	NaN	16.4081	9.5090	20.4529	16.3603	14.5842	10.5814	8.0500	9.5201	9.0829	12.5896	23.3784	NaN	23.3784	9.8049	8.0500	NaN	15.9536	13.6908	10.9759	10.5814	15.0427	20.4529	14.4781	20.4529	9.5201	NaN	9.5201	9.5201	9.5201	16.3603	13.7554	16.8524	8.0500	NaN	8.0500	15.3954	NaN	8.0500	8.0500	9.5201	9.5201	9.5201	8.0500	15.5806	16.8524	8.0500	8.0500	11.4698	12.5125	330.6764	12.6034	11.4364	11.4364	14.5842	111.1137	336.5539	330.6764	334.4650	11.4364	11.4364	12.9042	16.8524	14.1001	9.8171	12.9682	NaN	13.7680	20.3209	11.0129	11.4698	17.0314	16.4081	10.1243	16.4081
vid-46	8.0548	NaN	8.0548	8.0548	8.0548	5.7965	8.0548	8.0548	5.7537	8.0548	6.1554	NaN	8.0548	8.0548	8.0548	5.6852	8.0548	8.0548	8.3943	10.1351	5.7404	10.1351	10.1351	4.3944	10.1351	10.1351	8.0548	8.0548	10.2331	10.2331	8.0548	10.2331	10.2331	8.0548	10.2331	8.0548	8.0548	13.2594	6.6585	5.6852	10.2331	6.5667	7.8584	8.0061	10.2331	0.0000	8.0548	10.2331	5.2676	7.1166	7.1166	8.0548	18.5307	10.2331	7.6737	10.2331	4.2800	10.2331	4.4389	10.2331	10.2331	8.0548	10.2331	8.0548	14.8357	6.1968	8.0548	10.2331	10.2331	10.2331	7.6737	10.2331	10.2331	10.2331	10.2331	10.2331	3920.5191	3910.0303	3857.5098	3918.9530	3907.3865	957.6262	954.9260	954.4887	957.7119	NaN	3921.8124	5.6135	6.1554	6.4572	8.0548	4.5952	6.0573	5.8836	3.4410	NaN	8.0548	8.0548	8.0548	8.1538	NaN	8.0548	6.1968	30.4675	8.1538	13.2594	5.8474	6.0573	5.8836	5.5876	5.5624	33.5291	NaN	33.5291	6.1722	6.0573	NaN	7.8528	7.5470	3.4410	5.8474	6.1554	30.4675	6.7757	30.4675	5.8836	NaN	5.8836	5.8836	5.8836	8.1538	4.8003	8.3943	6.0573	NaN	6.0573	7.4701	NaN	6.0573	6.0573	5.8836	5.8836	5.8836	6.0573	5.7308	8.3943	6.0573	6.0573	5.8943	2.5217	323.9833	5.5624	5.6135	5.6135	13.2594	104.4792	329.9751	323.9833	327.8551	5.6135	5.6135	6.0076	8.3943	6.5667	11.8064	6.1520	NaN	5.2366	30.3391	4.6826	5.8943	9.5113	8.0548	15.3623	8.0548
vid-47	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
vid-48	16.4081	NaN	16.4081	16.4081	16.4081	12.7937	16.4081	16.4081	13.7903	16.4081	15.0427	NaN	16.4081	16.4081	16.4081	13.7692	16.4081	16.4081	16.8524	0.1093	12.6844	0.1093	0.1093	13.1870	0.1093	0.1093	16.4081	16.4081	0.0000	0.0000	16.4081	0.0000	0.0000	16.4081	0.0000	16.4081	16.4081	14.5842	15.1378	13.7692	0.0000	14.1001	14.2805	16.0307	0.0000	10.2331	16.4081	0.0000	12.6068	13.1943	13.1943	16.4081	23.1327	0.0000	15.2207	0.0000	11.2069	0.0000	10.6058	0.0000	0.0000	16.4081	0.0000	16.4081	15.8843	9.5090	16.4081	0.0000	0.0000	0.0000	15.2207	0.0000	0.0000	0.0000	0.0000	0.0000	3910.2882	3899.7976	3847.2801	3908.7222	3897.1538	947.6162	944.9099	944.4733	947.7019	NaN	3911.5817	11.4364	15.0427	16.3045	16.4081	10.4030	8.0500	9.5201	10.9759	NaN	16.4081	16.4081	16.4081	16.3603	NaN	16.4081	9.5090	20.4529	16.3603	14.5842	10.5814	8.0500	9.5201	9.0829	12.5896	23.3784	NaN	23.3784	9.8049	8.0500	NaN	15.9536	13.6908	10.9759	10.5814	15.0427	20.4529	14.4781	20.4529	9.5201	NaN	9.5201	9.5201	9.5201	16.3603	13.7554	16.8524	8.0500	NaN	8.0500	15.3954	NaN	8.0500	8.0500	9.5201	9.5201	9.5201	8.0500	15.5806	16.8524	8.0500	8.0500	11.4698	12.5125	330.6764	12.6034	11.4364	11.4364	14.5842	111.1137	336.5539	330.6764	334.4650	11.4364	11.4364	12.9042	16.8524	14.1001	9.8171	12.9682	NaN	13.7680	20.3209	11.0129	11.4698	17.0314	16.4081	10.1243	16.4081
vid-49	3.8075	NaN	3.8075	3.8075	3.8075	0.5588	3.8075	3.8075	1.2656	3.8075	2.8405	NaN	3.8075	3.8075	3.8075	1.2749	3.8075	3.8075	4.2569	12.4977	0.5443	12.4977	12.4977	1.8461	12.4977	12.4977	3.8075	3.8075	12.6068	12.6068	3.8075	12.6068	12.6068	3.8075	12.6068	3.8075	3.8075	9.0009	2.6355	1.2749	12.6068	1.5408	2.5921	3.4329	12.6068	5.2676	3.8075	12.6068	0.0000	1.9874	1.9874	3.8075	13.2641	12.6068	2.7211	12.6068	1.4320	12.6068	2.0049	12.6068	12.6068	3.8075	12.6068	3.8075	10.4824	3.9043	3.8075	12.6068	12.6068	12.6068	2.7211	12.6068	12.6068	12.6068	12.6068	12.6068	3921.9210	3911.3664	3858.6758	3920.3563	3908.7245	959.9580	957.2444	956.8086	960.0437	NaN	3923.2165	1.6374	2.8405	9.0876	3.8075	2.2337	5.0480	3.6832	2.0014	NaN	3.8075	3.8075	3.8075	3.7535	NaN	3.8075	3.9043	31.3265	3.7535	9.0009	2.6758	5.0480	3.6832	3.9080	0.3860	34.6700	NaN	34.6700	3.6289	5.0480	NaN	3.3483	2.3352	2.0014	2.6758	2.8405	31.3265	1.8913	31.3265	3.6832	NaN	3.6832	3.6832	3.6832	3.7535	2.1850	4.2569	5.0480	NaN	5.0480	2.7980	NaN	5.0480	5.0480	3.6832	3.6832	3.6832	5.0480	4.6274	4.2569	5.0480	5.0480	1.8498	4.0240	327.0791	0.3754	1.6374	1.6374	9.0009	107.7651	333.1321	327.0791	330.9956	1.6374	1.6374	0.7693	4.2569	1.5408	9.5076	0.9180	NaN	1.6600	31.2081	1.6138	1.8498	4.6266	3.8075	13.8369	3.8075
vid-50	4.0043	NaN	4.0043	4.0043	4.0043	1.4322	4.0043	4.0043	2.5146	4.0043	4.0129	NaN	4.0043	4.0043	4.0043	2.5831	4.0043	4.0043	4.4378	13.0857	1.4472	13.0857	13.0857	3.7254	13.0857	13.0857	4.0043	4.0043	13.1943	13.1943	4.0043	13.1943	13.1943	4.0043	13.1943	4.0043	4.0043	7.1629	3.4328	2.5831	13.1943	1.8563	1.0862	3.4071	13.1943	7.1166	4.0043	13.1943	1.9874	0.0000	0.0000	4.0043	11.4747	13.1943	2.4149	13.1943	2.8894	13.1943	3.0504	13.1943	13.1943	4.0043	13.1943	4.0043	8.5954	3.7681	4.0043	13.1943	13.1943	13.1943	2.4149	13.1943	13.1943	13.1943	13.1943	13.1943	3921.5860	3911.0061	3858.2508	3920.0219	3908.3650	960.0028	957.2835	956.8483	960.0885	NaN	3922.8823	1.8701	4.0129	10.9857	4.0043	3.1020	5.1928	3.6968	3.6935	NaN	4.0043	4.0043	4.0043	3.8194	NaN	4.0043	3.7681	31.0085	3.8194	7.1629	2.6134	5.1928	3.6968	4.1132	1.6207	34.4363	NaN	34.4363	3.4585	5.1928	NaN	3.4265	0.5153	3.6935	2.6134	4.0129	31.0085	2.1740	31.0085	3.6968	NaN	3.6968	3.6968	3.6968	3.8194	3.9152	4.4378	5.1928	NaN	5.1928	2.8837	NaN	5.1928	5.1928	3.6968	3.6968	3.6968	5.1928	6.1894	4.4378	5.1928	5.1928	1.7538	6.0103	328.8279	1.6264	1.8701	1.8701	7.1629	109.5679	334.8941	328.8279	332.7541	1.8701	1.8701	1.2309	4.4378	1.8563	8.4484	1.0874	NaN	3.2437	30.8947	2.6571	1.7538	3.9247	4.0043	12.9008	4.0043
vid-51	4.0043	NaN	4.0043	4.0043	4.0043	1.4322	4.0043	4.0043	2.5146	4.0043	4.0129	NaN	4.0043	4.0043	4.0043	2.5831	4.0043	4.0043	4.4378	13.0857	1.4472	13.0857	13.0857	3.7254	13.0857	13.0857	4.0043	4.0043	13.1943	13.1943	4.0043	13.1943	13.1943	4.0043	13.1943	4.0043	4.0043	7.1629	3.4328	2.5831	13.1943	1.8563	1.0862	3.4071	13.1943	7.1166	4.0043	13.1943	1.9874	0.0000	0.0000	4.0043	11.4747	13.1943	2.4149	13.1943	2.8894	13.1943	3.0504	13.1943	13.1943	4.0043	13.1943	4.0043	8.5954	3.7681	4.0043	13.1943	13.1943	13.1943	2.4149	13.1943	13.1943	13.1943	13.1943	13.1943	3921.5860	3911.0061	3858.2508	3920.0219	3908.3650	960.0028	957.2835	956.8483	960.0885	NaN	3922.8823	1.8701	4.0129	10.9857	4.0043	3.1020	5.1928	3.6968	3.6935	NaN	4.0043	4.0043	4.0043	3.8194	NaN	4.0043	3.7681	31.0085	3.8194	7.1629	2.6134	5.1928	3.6968	4.1132	1.6207	34.4363	NaN	34.4363	3.4585	5.1928	NaN	3.4265	0.5153	3.6935	2.6134	4.0129	31.0085	2.1740	31.0085	3.6968	NaN	3.6968	3.6968	3.6968	3.8194	3.9152	4.4378	5.1928	NaN	5.1928	2.8837	NaN	5.1928	5.1928	3.6968	3.6968	3.6968	5.1928	6.1894	4.4378	5.1928	5.1928	1.7538	6.0103	328.8279	1.6264	1.8701	1.8701	7.1629	109.5679	334.8941	328.8279	332.7541	1.8701	1.8701	1.2309	4.4378	1.8563	8.4484	1.0874	NaN	3.2437	30.8947	2.6571	1.7538	3.9247	4.0043	12.9008	4.0043
vid-52	0.0000	NaN	0.0000	0.0000	0.0000	3.7063	0.0000	0.0000	2.6330	0.0000	1.9763	NaN	0.0000	0.0000	0.0000	2.6646	0.0000	0.0000	0.4560	16.2990	3.8158	16.2990	16.2990	3.6785	16.2990	16.2990	0.0000	0.0000	16.4081	16.4081	0.0000	16.4081	16.4081	0.0000	16.4081	0.0000	0.0000	10.4008	1.4045	2.6646	16.4081	2.4016	3.2751	0.6502	16.4081	8.0548	0.0000	16.4081	3.8075	4.0043	4.0043	0.0000	11.6352	16.4081	1.6206	16.4081	5.2029	16.4081	5.8123	16.4081	16.4081	0.0000	16.4081	0.0000	11.6002	7.4836	0.0000	16.4081	16.4081	16.4081	1.6206	16.4081	16.4081	16.4081	16.4081	16.4081	3925.5236	3914.9528	3862.2178	3923.9593	3912.3114	963.7292	961.0140	960.5784	963.8148	NaN	3926.8196	5.1971	1.9763	9.2331	0.0000	6.0363	8.7685	7.3213	5.5464	NaN	0.0000	0.0000	0.0000	0.2824	NaN	0.0000	7.4836	34.9250	0.2824	10.4008	6.2262	8.7685	7.3213	7.6236	3.8748	38.3173	NaN	38.3173	7.1811	8.7685	NaN	0.5812	3.7515	5.5464	6.2262	1.9763	34.9250	2.0060	34.9250	7.3213	NaN	7.3213	7.3213	7.3213	0.2824	3.2588	0.4560	8.7685	NaN	8.7685	1.1312	NaN	8.7685	8.7685	7.3213	7.3213	7.3213	8.7685	3.8926	0.4560	8.7685	8.7685	5.2813	5.8577	325.8420	3.8592	5.1971	5.1971	10.4008	106.7817	331.9460	325.8420	329.7957	5.1971	5.1971	3.6522	0.4560	2.4016	12.4352	3.6380	NaN	2.8699	34.8093	5.4176	5.2813	1.9014	0.0000	16.8973	0.0000
