	vid-1	vid-2	vid-3	vid-4	vid-5	vid-6	vid-7	vid-8	vid-9	vid-10	vid-11	vid-12	vid-13	vid-14	vid-15	vid-16	vid-17	vid-18	vid-19	vid-20	vid-21	vid-22	vid-23	vid-24	vid-25	vid-26	vid-27	vid-28	vid-29	vid-30	vid-31	vid-32	vid-33	vid-34	vid-35	vid-36	vid-37	vid-38	vid-39	vid-40	vid-41	vid-42	vid-43	vid-44	vid-45	vid-46	vid-47	vid-48	vid-49	vid-50	vid-51	vid-52	vid-53	vid-54	vid-55	vid-56	vid-57	vid-58	vid-59	vid-60	vid-61	vid-62	vid-63	vid-64	vid-65	vid-66	vid-67	vid-68	vid-69	vid-70	vid-71	vid-72	vid-73	vid-74	vid-75	vid-76	vid-77	vid-78	vid-79	vid-80	vid-81	vid-82	vid-83	vid-84	vid-85	vid-86	vid-87	vid-88	vid-89	vid-90	vid-91	vid-92	vid-93	vid-94	vid-95	vid-96	vid-97	vid-98	vid-99	vid-100	vid-101	vid-102	vid-103	vid-104	vid-105	vid-106	vid-107	vid-108	vid-109	vid-110	vid-111	vid-112	vid-113	vid-114	vid-115	vid-116	vid-117	vid-118	vid-119	vid-120	vid-121	vid-122	vid-123	vid-124	vid-125	vid-126	vid-127	vid-128	vid-129	vid-130	vid-131	vid-132	vid-133	vid-134	vid-135	vid-136	vid-137	vid-138	vid-139	vid-140	vid-141	vid-142	vid-143	vid-144	vid-145	vid-146	vid-147	vid-148	vid-149	vid-150	vid-151	vid-152	vid-153	vid-154	vid-155	vid-156	vid-157	vid-158	vid-159	vid-160	vid-161	vid-162	vid-163	vid-164	vid-165	vid-166	vid-167	vid-168	vid-169	vid-170	vid-171	vid-172	vid-173	vid-174	vid-175	vid-176	vid-177	vid-178	vid-179	vid-180	vid-181	vid-182	vid-183	vid-184	vid-185	vid-186	vid-187	vid-188	vid-189	vid-190	vid-191	vid-192	vid-193	vid-194	vid-195	vid-196	vid-197	vid-198	vid-199	vid-200	vid-201	vid-202	vid-203	vid-204	vid-205	vid-206	vid-207	vid-208	vid-209	vid-210	vid-211	vid-212	vid-213	vid-214	vid-215	vid-216	vid-217	vid-218	vid-219	vid-220	vid-221	vid-222	vid-223	vid-224	vid-225	vid-226	vid-227	vid-228	vid-229	vid-230	vid-231	vid-232	vid-233	vid-234	vid-235	vid-236	vid-237	vid-238	vid-239	vid-240	vid-241	vid-242	vid-243	vid-244	vid-245	vid-246	vid-247	vid-248	vid-249	vid-250	vid-251	vid-252	vid-253	vid-254
vid-64	0.0000	4.1407	0.0000	2.1032	1.4787	NaN	2.1032	0.0000	1.2238	1.6227	NaN	2.1032	0.0000	11.4271	1.2114	0.0000	11.8955	0.1788	0.7210	1.4689	1.2102	2.8987	11.4271	2.1032	0.0000	6.1205	2.1032	2.1032	16.7101	2.6471	20.2791	1.4787	2.1032	2.1032	0.5665	1.2870	6.2860	0.6679	2.1032	1.4787	2.1032	199.0173	199.8692	199.0173	0.0000	0.6286	1.5742	1.4787	11.4271	2.4065	NaN	1.4787	NaN	1.4689	0.2405	21.2573	4.8738	NaN	2.8638	0.1499	2.1032	2.1032	1.1608	0.0000	0.5284	0.5572	0.5712	0.0000	2.1032	5.0990	3.1683	0.1562	4.2762	6.6904	2118.3884	2118.3884	11.4271	2120.8395	7.6082	1.4787	1.4787	NaN	328.2500	331.8661	331.8661	NaN	1.4787	2.1524	6.2860	4.5394	7.6082	0.0000	4.4318	3.0131	956.2387	954.1774	954.2977	NaN	1.4039	2.1032	1.5123	1.5504	11.8955	11.4271	3.1578	3.1578	2.8942	1.4787	2.1032	29.0320	9.1252	1.4787	NaN	1.4724	1.2009	2.1032	1.4236	2.2681	2.1032	0.0000	2.1032	177.8514	177.8514	177.8514	11.4271	NaN	1.4012	2.2116	7.6082	26.2967	11.4271	0.3637	0.4074	2.1032	1.7942	1.5390	0.8017	0.0000	4.0956	NaN	2.6151	1.2783	1.5504	0.5897	0.6041	NaN	0.0000	2.1032	713.0077	715.0500	715.0500	543.4791	543.4791	543.4791	508.2063	543.4791	99.7720	0.5897	0.0000	3.1769	2.1162	NaN	1.4545	17.1823	NaN	0.0000	NaN	0.0000	7.6082	0.5897	14.1618	543.4791	0.5572	2.1032	2.1032	0.0000	15.1636	678.1475	678.1475	677.6009	6.6904	508.2063	531.6006	531.6248	531.6006	11.4271	964.0276	964.6178	964.6102	956.4755	954.1940	964.0276	964.0276	964.6102	958.5672	964.6102	964.6102	0.2910	0.0000	2.1032	NaN	2.9579	6.6904	1513.2553	1514.9763	1513.2553	1691.9781	1691.9781	2.1032	NaN	0.0000	11.4271	1.7046	0.6286	0.3216	1.7046	1.2591	0.7606	0.5897	0.5897	2.4303	1.6913	0.0000	1.4787	NaN	335.8262	335.5644	2.1032	6.6904	948.7002	953.9748	954.1774	0.0000	0.0000	1.4787	NaN	0.8884	0.3823	335.2043	331.8661	331.8661	2.1032	2.1032	2.1032	0.0000	2.5692	3.1258	0.0000	2.1032	2.1032	0.0000	NaN	45.2234	1.7744
vid-65	0.5284	4.6561	0.5284	1.6745	1.0335	NaN	1.6745	0.5284	1.7516	2.0459	NaN	1.6745	0.5284	11.0500	1.3176	0.5284	11.5150	0.6290	1.2093	1.2829	1.3018	3.0838	11.0500	1.6745	0.5284	5.8355	1.6745	1.6745	16.6686	3.0513	19.7557	1.0335	1.6745	1.6745	0.6788	1.8017	6.7856	1.1546	1.6745	1.0335	1.6745	199.3042	200.1584	199.3042	0.5284	1.1439	1.3463	1.0335	11.0500	2.5828	NaN	1.0335	NaN	1.2829	0.7557	20.8800	4.8043	NaN	3.3895	0.6583	1.6745	1.6745	1.3601	0.5284	0.0000	0.8310	0.4453	0.5284	1.6745	5.5078	2.7544	0.6732	4.7934	6.9468	2117.9937	2117.9937	11.0500	2120.4446	7.3410	1.0335	1.0335	NaN	328.5179	332.1311	332.1311	NaN	1.0335	1.7346	6.7856	5.0602	7.3410	0.5284	4.8680	2.7784	955.7108	953.6496	953.7699	NaN	1.8997	1.6745	2.0363	1.2319	11.5150	11.0500	3.6701	3.6701	3.4151	1.0335	1.6745	28.5127	8.7462	1.0335	NaN	1.1417	0.9828	1.6745	1.9416	2.7664	1.6745	0.5284	1.6745	178.3745	178.3745	178.3745	11.0500	NaN	1.1265	2.4258	7.3410	25.8467	11.0500	0.8433	0.1210	1.6745	2.1421	2.0529	1.1851	0.5284	4.6180	NaN	3.1382	1.3978	1.2319	0.5927	0.5120	NaN	0.5284	1.6745	713.1915	715.2352	715.2352	543.6786	543.6786	543.6786	508.4308	543.6786	99.3334	0.5927	0.5284	3.6757	2.3180	NaN	1.4988	16.7460	NaN	0.5284	NaN	0.5284	7.3410	0.5927	13.9805	543.6786	0.8310	1.6745	1.6745	0.5284	14.7559	677.6365	677.6365	677.0898	6.9468	508.4308	531.7990	531.8158	531.7990	11.0500	963.5003	964.0905	964.0828	955.9478	953.6662	963.5003	963.5003	964.0828	958.0394	964.0828	964.0828	0.7904	0.5284	1.6745	NaN	2.6528	6.9468	1512.7441	1514.4652	1512.7441	1691.4571	1691.4571	1.6745	NaN	0.5284	11.0500	1.3984	1.1439	0.7361	1.3984	1.3617	1.2675	0.5927	0.5927	2.5953	2.0410	0.5284	1.0335	NaN	336.0876	335.8257	1.6745	6.9468	948.1721	953.4469	953.6496	0.5284	0.5284	1.0335	NaN	1.1282	0.9022	335.4691	332.1311	332.1311	1.6745	1.6745	1.6745	0.5284	3.0806	3.0342	0.5284	1.6745	1.6745	0.5284	NaN	44.9854	1.8706
vid-66	0.5572	4.2133	0.5572	2.5055	1.8644	NaN	2.5055	0.5572	1.2841	1.9765	NaN	2.5055	0.5572	11.1280	0.6708	0.5572	11.6001	0.7091	1.0490	1.9997	0.6755	2.3451	11.1280	2.5055	0.5572	6.6301	2.5055	2.5055	17.2656	2.9930	20.3064	1.8644	2.5055	2.5055	1.1231	1.1627	6.0299	1.0096	2.5055	1.8644	2.5055	198.5043	199.3574	198.5043	0.5572	0.8923	2.0933	1.8644	11.1280	1.8509	NaN	1.8644	NaN	1.9997	0.6550	20.9503	4.3563	NaN	2.8832	0.6329	2.5055	2.5055	0.6037	0.5572	0.8310	0.0000	1.0832	0.5572	2.5055	4.6790	2.9715	0.4849	4.3375	7.1436	2118.8247	2118.8247	11.1280	2121.2756	7.2037	1.8644	1.8644	NaN	327.7283	331.3432	331.3432	NaN	1.8644	2.5654	6.0299	4.5778	7.2037	0.5572	4.7060	3.5386	956.3090	954.2475	954.3679	NaN	1.1901	2.5055	1.5996	2.0301	11.6001	11.1280	3.2581	3.2581	2.9537	1.8644	2.5055	29.2313	8.8330	1.8644	NaN	1.9445	1.7171	2.5055	1.3084	2.0341	2.5055	0.5572	2.5055	177.6797	177.6797	177.6797	11.1280	NaN	1.8997	1.6615	7.2037	26.0984	11.1280	0.3721	0.7454	2.5055	1.3118	1.3935	1.2607	0.5572	4.1267	NaN	2.6643	0.7310	2.0301	1.1352	1.1295	NaN	0.5572	2.5055	712.4598	714.5024	714.5024	542.9347	542.9347	542.9347	507.6687	542.9347	99.5472	1.1352	0.5572	2.9323	1.5633	NaN	2.0106	17.5720	NaN	0.5572	NaN	0.5572	7.2037	1.1352	13.6870	542.9347	0.0000	2.5055	2.5055	0.5572	15.5868	678.1007	678.1007	677.5541	7.1436	507.6687	531.0560	531.0785	531.0560	11.1280	964.0877	964.6789	964.6708	956.5432	954.2638	964.0877	964.0877	964.6708	958.6367	964.6708	964.6708	0.4227	0.5572	2.5055	NaN	2.6299	7.1436	1513.4865	1515.2082	1513.4865	1692.1640	1692.1640	2.5055	NaN	0.5572	11.1280	1.4390	0.8923	0.2705	1.4390	0.7180	1.0281	1.1352	1.1352	2.9536	1.2104	0.5572	1.8644	NaN	335.3018	335.0400	2.5055	7.1436	948.7759	954.0454	954.2475	0.5572	0.5572	1.8644	NaN	1.4194	0.5205	334.6813	331.3432	331.3432	2.5055	2.5055	2.5055	0.5572	2.6867	3.6812	0.5572	2.5055	2.5055	0.5572	NaN	44.7793	2.3221
vid-67	0.5712	4.4448	0.5712	1.5630	0.9673	NaN	1.5630	0.5712	1.6458	1.7237	NaN	1.5630	0.5712	11.4524	1.6756	0.5712	11.9154	0.5338	1.0150	0.9172	1.6659	3.4186	11.4524	1.5630	0.5712	5.5549	1.5630	1.5630	16.2576	2.6960	19.9605	0.9673	1.5630	1.5630	0.2845	1.7969	6.7965	0.9640	1.5630	0.9673	1.5630	199.5805	200.4330	199.5805	0.5712	1.0130	1.0113	0.9673	11.4524	2.9202	NaN	0.9673	NaN	0.9172	0.6896	21.2801	5.2370	NaN	3.2336	0.6120	1.5630	1.5630	1.6731	0.5712	0.4453	1.0832	0.0000	0.5712	1.5630	5.6670	3.1495	0.7180	4.5880	6.5122	2117.8202	2117.8202	11.4524	2120.2713	7.7801	0.9673	0.9673	NaN	328.8088	332.4241	332.4241	NaN	0.9673	1.6054	6.7965	4.8671	7.7801	0.5712	4.5289	2.4558	955.8733	953.8122	953.9324	NaN	1.9401	1.5630	1.8911	0.9803	11.9154	11.4524	3.4557	3.4557	3.2326	0.9673	1.5630	28.5778	9.1489	0.9673	NaN	0.9045	0.6354	1.5630	1.9229	2.7926	1.5630	0.5712	1.5630	178.2931	178.2931	178.2931	11.4524	NaN	0.8302	2.7412	7.7801	26.1925	11.4524	0.9323	0.4210	1.5630	2.3619	2.0460	0.8747	0.5712	4.4345	NaN	2.9692	1.7515	0.9803	0.1643	0.0667	NaN	0.5712	1.5630	713.5371	715.5800	715.5800	544.0150	544.0150	544.0150	508.7517	544.0150	99.6881	0.1643	0.5712	3.6958	2.6400	NaN	1.0549	16.6279	NaN	0.5712	NaN	0.5712	7.7801	0.1643	14.4258	544.0150	1.0832	1.5630	1.5630	0.5712	14.5992	677.8821	677.8821	677.3355	6.5122	508.7517	532.1361	532.1573	532.1361	11.4524	963.6703	964.2599	964.2525	956.1122	953.8291	963.6703	963.6703	964.2525	958.2025	964.2525	964.2525	0.8551	0.5712	1.5630	NaN	3.0898	6.5122	1512.7759	1514.4966	1512.7759	1691.5278	1691.5278	1.5630	NaN	0.5712	11.4524	1.8402	1.0130	0.8863	1.8402	1.7222	1.1035	0.1643	0.1643	2.1521	2.2590	0.5712	0.9673	NaN	336.3832	336.1214	1.5630	6.5122	948.3305	953.6090	953.8122	0.5712	0.5712	0.9673	NaN	0.7302	0.9190	335.7622	332.4241	332.4241	1.5630	1.5630	1.5630	0.5712	2.8692	2.6330	0.5712	1.5630	1.5630	0.5712	NaN	45.4267	1.4253
vid-68	0.0000	4.1407	0.0000	2.1032	1.4787	NaN	2.1032	0.0000	1.2238	1.6227	NaN	2.1032	0.0000	11.4271	1.2114	0.0000	11.8955	0.1788	0.7210	1.4689	1.2102	2.8987	11.4271	2.1032	0.0000	6.1205	2.1032	2.1032	16.7101	2.6471	20.2791	1.4787	2.1032	2.1032	0.5665	1.2870	6.2860	0.6679	2.1032	1.4787	2.1032	199.0173	199.8692	199.0173	0.0000	0.6286	1.5742	1.4787	11.4271	2.4065	NaN	1.4787	NaN	1.4689	0.2405	21.2573	4.8738	NaN	2.8638	0.1499	2.1032	2.1032	1.1608	0.0000	0.5284	0.5572	0.5712	0.0000	2.1032	5.0990	3.1683	0.1562	4.2762	6.6904	2118.3884	2118.3884	11.4271	2120.8395	7.6082	1.4787	1.4787	NaN	328.2500	331.8661	331.8661	NaN	1.4787	2.1524	6.2860	4.5394	7.6082	0.0000	4.4318	3.0131	956.2387	954.1774	954.2977	NaN	1.4039	2.1032	1.5123	1.5504	11.8955	11.4271	3.1578	3.1578	2.8942	1.4787	2.1032	29.0320	9.1252	1.4787	NaN	1.4724	1.2009	2.1032	1.4236	2.2681	2.1032	0.0000	2.1032	177.8514	177.8514	177.8514	11.4271	NaN	1.4012	2.2116	7.6082	26.2967	11.4271	0.3637	0.4074	2.1032	1.7942	1.5390	0.8017	0.0000	4.0956	NaN	2.6151	1.2783	1.5504	0.5897	0.6041	NaN	0.0000	2.1032	713.0077	715.0500	715.0500	543.4791	543.4791	543.4791	508.2063	543.4791	99.7720	0.5897	0.0000	3.1769	2.1162	NaN	1.4545	17.1823	NaN	0.0000	NaN	0.0000	7.6082	0.5897	14.1618	543.4791	0.5572	2.1032	2.1032	0.0000	15.1636	678.1475	678.1475	677.6009	6.6904	508.2063	531.6006	531.6248	531.6006	11.4271	964.0276	964.6178	964.6102	956.4755	954.1940	964.0276	964.0276	964.6102	958.5672	964.6102	964.6102	0.2910	0.0000	2.1032	NaN	2.9579	6.6904	1513.2553	1514.9763	1513.2553	1691.9781	1691.9781	2.1032	NaN	0.0000	11.4271	1.7046	0.6286	0.3216	1.7046	1.2591	0.7606	0.5897	0.5897	2.4303	1.6913	0.0000	1.4787	NaN	335.8262	335.5644	2.1032	6.6904	948.7002	953.9748	954.1774	0.0000	0.0000	1.4787	NaN	0.8884	0.3823	335.2043	331.8661	331.8661	2.1032	2.1032	2.1032	0.0000	2.5692	3.1258	0.0000	2.1032	2.1032	0.0000	NaN	45.2234	1.7744
vid-69	2.1032	5.8235	2.1032	0.0000	0.6414	NaN	0.0000	2.1032	3.1881	3.0014	NaN	0.0000	2.1032	11.0655	2.9161	2.1032	11.5083	2.0959	2.5341	1.0617	2.8924	4.6632	11.0655	0.0000	2.1032	4.2838	0.0000	0.0000	15.5440	3.7837	18.6959	0.6414	0.0000	0.0000	1.7510	3.3599	8.3573	2.4887	0.0000	0.6414	0.0000	200.9121	201.7686	200.9121	2.1032	2.5624	0.9249	0.6414	11.0655	4.1677	NaN	0.6414	NaN	1.0617	2.2520	20.8217	5.9512	NaN	4.7080	2.1706	0.0000	0.0000	3.0044	2.1032	1.6745	2.5055	1.5630	2.1032	0.0000	7.1803	3.0309	2.2586	5.9740	6.8626	2116.3193	2116.3193	11.0655	2118.7703	7.8656	0.6414	0.6414	NaN	330.1042	333.7139	333.7139	NaN	0.6414	0.0852	8.3573	6.2689	7.8656	2.1032	5.5834	1.5103	954.4950	952.4342	952.5543	NaN	3.4997	0.0000	3.4047	0.6939	11.5083	11.0655	4.8493	4.8493	4.6763	0.6414	0.0000	27.0753	8.7934	0.6414	NaN	0.7208	1.0894	0.0000	3.4851	4.3554	0.0000	2.1032	0.0000	179.7871	179.7871	179.7871	11.0655	NaN	0.8764	4.0433	7.8656	25.3983	11.0655	2.4643	1.7671	0.0000	3.8157	3.6088	2.2947	2.1032	5.8563	NaN	4.4345	2.9984	0.6939	1.6363	1.5592	NaN	2.1032	0.0000	714.6586	716.7047	716.7047	545.1709	545.1709	545.1709	509.9603	545.1709	98.9061	1.6363	2.1032	5.2587	3.9299	NaN	1.6936	15.0814	NaN	2.1032	NaN	2.1032	7.8656	1.6363	14.6826	545.1709	2.5055	0.0000	0.0000	2.1032	13.0815	676.6893	676.6893	676.1427	6.8626	509.9603	533.2896	533.2947	533.2896	11.0655	962.3058	962.8942	962.8873	954.7374	952.4516	962.3058	962.3058	962.8873	956.8253	962.8873	962.8873	2.3942	2.1032	0.0000	NaN	3.3748	6.8626	1511.2407	1512.9610	1511.2407	1690.0243	1690.0243	0.0000	NaN	2.1032	11.0655	2.4235	2.5624	2.3853	2.4235	2.9541	2.6351	1.6363	1.6363	2.6474	3.7150	2.1032	0.6414	NaN	337.6661	337.4042	0.0000	6.8626	946.9451	952.2302	952.4342	2.1032	2.1032	0.6414	NaN	2.0028	2.4740	337.0517	333.7139	333.7139	0.0000	0.0000	0.0000	2.1032	4.2833	2.1718	2.1032	0.0000	0.0000	2.1032	NaN	45.4279	1.9843
vid-70	5.0990	4.3296	5.0990	7.1803	6.5407	NaN	7.1803	5.0990	4.3092	5.1649	NaN	7.1803	5.0990	12.9373	4.4063	5.0990	13.4082	5.1471	4.9076	6.5106	4.4390	3.1072	12.9373	7.1803	5.0990	11.1355	7.1803	7.1803	20.7113	5.5285	23.9355	6.5407	7.1803	7.1803	5.5705	3.9778	2.4122	4.9303	7.1803	6.5407	7.1803	194.1214	194.9661	194.1214	5.0990	4.8002	6.6362	6.5407	12.9373	3.4257	NaN	6.5407	NaN	6.5106	4.9987	22.2808	4.9518	NaN	3.8018	5.0620	7.1803	7.1803	4.2502	5.0990	5.5078	4.6790	5.6670	5.0990	7.1803	0.0001	6.6012	4.9491	4.2933	9.3470	2123.4872	2123.4872	12.9373	2125.9383	8.4672	6.5407	6.5407	NaN	323.4161	327.0429	327.0429	NaN	6.5407	7.2369	2.4122	4.2153	8.4672	5.0990	5.9824	8.0201	959.9259	957.8634	957.9841	NaN	3.7832	7.1803	4.2794	6.6471	13.4082	12.9373	4.2637	4.2637	4.0099	6.5407	7.1803	33.5226	10.8969	6.5407	NaN	6.5710	6.2775	7.1803	3.8968	3.0587	7.1803	5.0990	7.1803	173.5968	173.5968	173.5968	12.9373	NaN	6.4901	3.4014	8.4672	28.2557	12.9373	4.7356	5.4132	7.1803	3.3832	3.7697	5.2497	5.0990	4.0142	NaN	3.9629	4.3316	6.6471	5.6480	5.6911	NaN	5.0990	7.1803	708.5311	710.5661	710.5661	538.9280	538.9280	538.9280	503.5424	538.9280	101.2145	5.6480	5.0990	2.3918	3.5144	NaN	6.2378	22.2494	NaN	5.0990	NaN	5.0990	8.4672	5.6480	13.3033	538.9280	4.6790	7.1803	7.1803	5.0990	20.2596	681.0215	681.0215	680.4748	9.3470	503.5424	527.0551	527.1149	527.0551	12.9373	967.6495	968.2454	968.2353	960.1460	957.8775	967.6495	967.6495	968.2353	962.2490	968.2353	968.2353	4.8119	5.0990	7.1803	NaN	5.8235	9.3470	1517.8198	1519.5435	1517.8198	1696.3256	1696.3256	7.1803	NaN	5.0990	12.9373	5.4293	4.8002	4.7999	5.4293	4.3830	4.7950	5.6480	5.6480	6.6213	3.4802	5.0990	6.5407	NaN	331.0161	330.7544	7.1803	9.3470	952.4216	957.6644	957.8634	5.0990	5.0990	6.5407	NaN	5.5789	4.7558	330.3817	327.0429	327.0429	7.1803	7.1803	7.1803	5.0990	4.2894	7.8856	5.0990	7.1803	7.1803	5.0990	NaN	44.2596	6.3662
vid-71	3.1683	7.1795	3.1683	3.0309	2.7958	NaN	3.0309	3.1683	4.2543	4.7837	NaN	3.0309	3.1683	8.3032	2.6480	3.1683	8.7659	3.3271	3.8863	3.6001	2.6132	3.5013	8.3032	3.0309	3.1683	6.9216	3.0309	3.0309	18.4968	5.8003	17.5300	2.7958	3.0309	3.0309	3.4202	4.1037	8.5043	3.8343	3.0309	2.7958	3.0309	198.9026	199.7704	198.9026	3.1683	3.7710	3.5563	2.7958	8.3032	3.1923	NaN	2.7958	NaN	3.6001	3.4036	18.1306	3.4024	NaN	5.8398	3.3182	3.0309	3.0309	2.8798	3.1683	2.7544	2.9715	3.1495	3.1683	3.0309	6.6012	0.0000	3.2483	7.3000	9.6113	2117.6789	2117.6789	8.3032	2120.1283	4.8366	2.7958	2.7958	NaN	327.9931	331.5886	331.5886	NaN	2.7958	3.1120	8.5043	7.5303	4.8366	3.1683	7.5999	4.5362	953.5746	951.5127	951.6332	NaN	4.0723	3.0309	4.5693	3.2770	8.7659	8.3032	6.2295	6.2295	5.9212	2.7958	3.0309	26.9250	5.9999	2.7958	NaN	3.2054	3.3652	3.0309	4.2449	4.7991	3.0309	3.1683	3.0309	180.1621	180.1621	180.1621	8.3032	NaN	3.3336	3.2712	4.8366	23.1375	8.3032	3.2864	2.8467	3.0309	3.6341	4.3072	3.9315	3.1683	7.0784	NaN	5.6311	2.6808	3.2770	3.3132	3.2109	NaN	3.1683	3.0309	712.1933	714.2446	714.2446	542.7647	542.7647	542.7647	507.6528	542.7647	96.6049	3.3132	3.1683	5.5989	3.1731	NaN	4.0910	16.3287	NaN	3.1683	NaN	3.1683	4.8366	3.3132	11.6543	542.7647	2.9715	3.0309	3.0309	3.1683	14.6235	675.1835	675.1835	674.6368	9.6113	507.6528	530.8792	530.8568	530.8792	8.3032	961.3324	961.9252	961.9164	953.8033	951.5281	961.3324	961.3324	961.9164	955.9005	961.9164	961.9164	3.2914	3.1683	3.0309	NaN	0.8304	9.6113	1511.2205	1512.9445	1511.2205	1689.7378	1689.7378	3.0309	NaN	3.1683	8.3032	1.5373	3.7710	3.1430	1.5373	2.6374	3.9105	3.3132	3.3132	5.2287	3.5830	3.1683	2.7958	NaN	335.5238	335.2618	3.0309	9.6113	946.0530	951.3118	951.5127	3.1683	3.1683	2.7958	NaN	3.8738	3.4203	334.9253	331.5886	331.5886	3.0309	3.0309	3.0309	3.1683	5.6570	5.1735	3.1683	3.0309	3.0309	3.1683	NaN	42.4403	4.4763
vid-72	0.1562	4.0198	0.1562	2.2586	1.6349	NaN	2.2586	0.1562	1.0887	1.5685	NaN	2.2586	0.1562	11.4851	1.1552	0.1562	11.9547	0.2344	0.6432	1.6004	1.1585	2.7992	11.4851	2.2586	0.1562	6.2560	2.2586	2.2586	16.7898	2.5945	20.4104	1.6349	2.2586	2.2586	0.6749	1.1332	6.1305	0.5938	2.2586	1.6349	2.2586	198.8850	199.7365	198.8850	0.1562	0.5238	1.7109	1.6349	11.4851	2.3121	NaN	1.6349	NaN	1.6004	0.1788	21.3138	4.8373	NaN	2.7316	0.1504	2.2586	2.2586	1.0775	0.1562	0.6732	0.4849	0.7180	0.1562	2.2586	4.9491	3.2483	0.0000	4.1534	6.6867	2118.5381	2118.5381	11.4851	2120.9892	7.6290	1.6349	1.6349	NaN	328.1212	331.7380	331.7380	NaN	1.6349	2.3072	6.1305	4.4130	7.6290	0.1562	4.3590	3.1438	956.3770	954.3157	954.4360	NaN	1.2478	2.2586	1.3849	1.6983	11.9547	11.4851	3.0404	3.0404	2.7687	1.6349	2.2586	29.1833	9.1847	1.6349	NaN	1.6219	1.3404	2.2586	1.2711	2.1122	2.2586	0.1562	2.2586	177.7020	177.7020	177.7020	11.4851	NaN	1.5453	2.1085	7.6290	26.3836	11.4851	0.2152	0.5530	2.2586	1.6605	1.3852	0.7906	0.1562	3.9674	NaN	2.4870	1.2159	1.6983	0.7183	0.7454	NaN	0.1562	2.2586	712.8965	714.9384	714.9384	543.3644	543.3644	543.3644	508.0863	543.3644	99.8529	0.7183	0.1562	3.0212	2.0171	NaN	1.5399	17.3366	NaN	0.1562	NaN	0.1562	7.6290	0.7183	14.1518	543.3644	0.4849	2.2586	2.2586	0.1562	15.3154	678.2676	678.2676	677.7210	6.6867	508.0863	531.4862	531.5121	531.4862	11.4851	964.1646	964.7549	964.7472	956.6135	954.3323	964.1646	964.1646	964.7472	958.7054	964.7472	964.7472	0.1373	0.1562	2.2586	NaN	3.0009	6.6867	1513.4089	1515.1300	1513.4089	1692.1287	1692.1287	2.2586	NaN	0.1562	11.4851	1.7591	0.5238	0.2182	1.7591	1.2025	0.6625	0.7183	0.7183	2.4693	1.5578	0.1562	1.6349	NaN	335.6987	335.4369	2.2586	6.6867	948.8392	954.1131	954.3157	0.1562	0.1562	1.6349	NaN	0.9347	0.2294	335.0762	331.7380	331.7380	2.2586	2.2586	2.2586	0.1562	2.4536	3.2281	0.1562	2.2586	2.2586	0.1562	NaN	45.2291	1.8407
vid-73	4.2762	0.1563	4.2762	5.9740	5.5037	NaN	5.9740	4.2762	3.0749	2.9747	NaN	5.9740	4.2762	15.2511	4.6987	4.2762	15.7290	4.1659	3.5929	4.9354	4.7301	5.0302	15.2511	5.9740	4.2762	8.6936	5.9740	5.9740	16.7300	2.4334	24.5437	5.5037	5.9740	5.9740	4.3230	3.1975	3.5130	3.6471	5.9740	5.5037	5.9740	197.5716	198.4032	197.5716	4.2762	3.6502	5.0827	5.5037	15.2511	4.8640	NaN	5.5037	NaN	4.9354	4.0400	25.0051	7.6429	NaN	1.4620	4.1368	5.9740	5.9740	4.4698	4.2762	4.7934	4.3375	4.5880	4.2762	5.9740	4.2933	7.3000	4.1534	0.0000	5.1584	2120.8954	2120.8954	15.2511	2123.3484	11.0390	5.5037	5.5037	NaN	326.9579	330.6003	330.6003	NaN	5.5037	5.9815	3.5130	0.3117	11.0390	4.2762	1.7997	5.9609	960.4521	958.3911	958.5113	NaN	3.2506	5.9740	2.7694	5.2804	15.7290	15.2511	1.1329	1.1329	1.3871	5.5037	5.9740	33.0087	12.9918	5.5037	NaN	5.2577	4.8900	5.9740	3.0583	2.7119	5.9740	4.2762	5.9740	173.8566	173.8566	173.8566	15.2511	NaN	5.0978	4.6290	11.0390	30.3759	15.2511	4.0586	4.6745	5.9740	3.9502	3.0067	3.7279	4.2762	0.3015	NaN	1.6744	4.6861	5.2804	4.4535	4.5578	NaN	4.2762	5.9740	712.4362	714.4658	714.4658	542.7768	542.7768	542.7768	507.2882	542.7768	103.7670	4.4535	4.2762	2.3794	4.6541	NaN	4.3471	20.3705	NaN	4.2762	NaN	4.2762	11.0390	4.4535	16.9057	542.7768	4.3375	5.9740	5.9740	4.2762	18.1442	682.4205	682.4205	681.8739	5.1584	507.2882	530.9086	530.9968	530.9086	15.2511	968.2537	968.8429	968.8357	960.6923	958.4082	968.2537	968.2537	968.8357	962.7817	968.8357	968.8357	4.0736	4.2762	5.9740	NaN	6.8545	5.1584	1517.0622	1518.7809	1517.0622	1695.9410	1695.9410	5.9740	NaN	4.2762	15.2511	5.7628	3.6502	4.2019	5.7628	4.7204	3.5265	4.4535	4.4535	3.9314	3.9498	4.2762	5.5037	NaN	334.5921	334.3306	5.9740	5.1584	952.9063	958.1876	958.3911	4.2762	4.2762	5.5037	NaN	3.9821	3.9442	333.9399	330.6003	330.6003	5.9740	5.9740	5.9740	4.2762	1.7192	5.3975	4.2762	5.9740	5.9740	4.2762	NaN	48.0598	4.1941
